Infinitive,подсвети́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подсвети́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подсве́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подсвети́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подсвети́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подсвечу́
2nd Sing,подсве́тишь
3rd Sing,подсве́тит
1st Pl,подсве́тим
2nd Pl,подсве́тите
3rd Pl,подсве́тят
Past M,подсвети́л
Past F,подсвети́ла
Past N,подсвети́ло
Past PL,подсвети́ли
Imp S,подсвети́
Imp PL,подсвети́те
