Infinitive,подружи́ться
Zaliznyak Class,4c // 4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подружи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подружи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подружу́сь
2nd Sing,подру́жишься
3rd Sing,подру́жится
1st Pl,подру́жимся
2nd Pl,подру́житесь
3rd Pl,подру́жатся
Past M,подружи́лся
Past F,подружи́лась
Past N,подружи́лось
Past PL,подружи́лись
Imp S,подружи́сь
Imp PL,подружи́тесь
