Infinitive,поплы́ть
Zaliznyak Class,16b/c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поплы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поплы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поплы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поплыву́
2nd Sing,поплывёшь
3rd Sing,поплывёт
1st Pl,поплывём
2nd Pl,поплывёте
3rd Pl,поплыву́т
Past M,поплы́л
Past F,поплыла́
Past N,поплы́ло
Past PL,поплы́ли
Imp S,поплыви́
Imp PL,поплыви́те
