Infinitive,поверте́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поверте́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пове́рченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поверте́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поверте́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поверчу́
2nd Sing,пове́ртишь
3rd Sing,пове́ртит
1st Pl,пове́ртим
2nd Pl,пове́ртите
3rd Pl,пове́ртят
Past M,поверте́л
Past F,поверте́ла
Past N,поверте́ло
Past PL,поверте́ли
Imp S,поверти́
Imp PL,поверти́те
