Infinitive,подстерега́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подстерега́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подстерега́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подстерега́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подстерега́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,подстерега́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,подстерега́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,подстерега́ю
2nd Sing,подстерега́ешь
3rd Sing,подстерега́ет
1st Pl,подстерега́ем
2nd Pl,подстерега́ете
3rd Pl,подстерега́ют
Past M,подстерега́л
Past F,подстерега́ла
Past N,подстерега́ло
Past PL,подстерега́ли
Imp S,подстерега́й
Imp PL,подстерега́йте
