Infinitive,подлета́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подлета́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подлета́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подлета́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подлета́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подлета́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подлета́ю
2nd Sing,подлета́ешь
3rd Sing,подлета́ет
1st Pl,подлета́ем
2nd Pl,подлета́ете
3rd Pl,подлета́ют
Past M,подлета́л
Past F,подлета́ла
Past N,подлета́ло
Past PL,подлета́ли
Imp S,подлета́й
Imp PL,подлета́йте
