Infinitive,подтвержда́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подтвержда́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подтвержда́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подтвержда́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подтвержда́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,подтвержда́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,подтвержда́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,подтвержда́ю
2nd Sing,подтвержда́ешь
3rd Sing,подтвержда́ет
1st Pl,подтвержда́ем
2nd Pl,подтвержда́ете
3rd Pl,подтвержда́ют
Past M,подтвержда́л
Past F,подтвержда́ла
Past N,подтвержда́ло
Past PL,подтвержда́ли
Imp S,подтвержда́й
Imp PL,подтвержда́йте
