Infinitive,по́льзоваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,по́льзующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́льзовавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,по́льзуясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,по́льзовавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,по́льзуюсь
2nd Sing,по́льзуешься
3rd Sing,по́льзуется
1st Pl,по́льзуемся
2nd Pl,по́льзуетесь
3rd Pl,по́льзуются
Past M,по́льзовался
Past F,по́льзовалась
Past N,по́льзовалось
Past PL,по́льзовались
Imp S,по́льзуйся
Imp PL,по́льзуйтесь
