Infinitive,помере́ть
Zaliznyak Class,9b/c①
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поме́рший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,по́мерший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,помере́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поме́рши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,помру́
2nd Sing,помрёшь
3rd Sing,помрёт
1st Pl,помрём
2nd Pl,помрёте
3rd Pl,помру́т
Past M,по́мер
Past F,померла́
Past N,по́мерло
Past PL,по́мерли
Imp S,помри́
Imp PL,помри́те
