Infinitive,поступи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поступи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поступи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поступлю́сь
2nd Sing,посту́пишься
3rd Sing,посту́пится
1st Pl,посту́пимся
2nd Pl,посту́питесь
3rd Pl,посту́пятся
Past M,поступи́лся
Past F,поступи́лась
Past N,поступи́лось
Past PL,поступи́лись
Imp S,поступи́сь
Imp PL,поступи́тесь
