Infinitive,послы́шаться
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,послы́шавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,послы́шавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,послы́шусь
2nd Sing,послы́шишься
3rd Sing,послы́шится
1st Pl,послы́шимся
2nd Pl,послы́шитесь
3rd Pl,послы́шатся
Past M,послы́шался
Past F,послы́шалась
Past N,послы́шалось
Past PL,послы́шались
Imp S,—
Imp PL,—
