Infinitive,подде́рживаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подде́рживающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подде́рживавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подде́рживаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подде́рживавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подде́рживаюсь
2nd Sing,подде́рживаешься
3rd Sing,подде́рживается
1st Pl,подде́рживаемся
2nd Pl,подде́рживаетесь
3rd Pl,подде́рживаются
Past M,подде́рживался
Past F,подде́рживалась
Past N,подде́рживалось
Past PL,подде́рживались
Imp S,подде́рживайся
Imp PL,подде́рживайтесь
