Infinitive,посочу́вствовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,посочу́вствовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посочу́вствовав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,посочу́вствовавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,посочу́вствую
2nd Sing,посочу́вствуешь
3rd Sing,посочу́вствует
1st Pl,посочу́вствуем
2nd Pl,посочу́вствуете
3rd Pl,посочу́вствуют
Past M,посочу́вствовал
Past F,посочу́вствовала
Past N,посочу́вствовало
Past PL,посочу́вствовали
Imp S,посочу́вствуй
Imp PL,посочу́вствуйте
