Infinitive,пойма́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пойма́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́йманный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пойма́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пойма́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пойма́ю
2nd Sing,пойма́ешь
3rd Sing,пойма́ет
1st Pl,пойма́ем
2nd Pl,пойма́ете
3rd Pl,пойма́ют
Past M,пойма́л
Past F,пойма́ла
Past N,пойма́ло
Past PL,пойма́ли
Imp S,пойма́й
Imp PL,пойма́йте
