Infinitive,поскупи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поскупи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поскупи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поскуплю́сь
2nd Sing,поскупи́шься
3rd Sing,поскупи́тся
1st Pl,поскупи́мся
2nd Pl,поскупи́тесь
3rd Pl,поскупя́тся
Past M,поскупи́лся
Past F,поскупи́лась
Past N,поскупи́лось
Past PL,поскупи́лись
Imp S,поскупи́сь
Imp PL,поскупи́тесь
