Infinitive,потрево́жить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,потрево́живший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потрево́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потрево́жив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,потрево́живши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потрево́жу
2nd Sing,потрево́жишь
3rd Sing,потрево́жит
1st Pl,потрево́жим
2nd Pl,потрево́жите
3rd Pl,потрево́жат
Past M,потрево́жил
Past F,потрево́жила
Past N,потрево́жило
Past PL,потрево́жили
Imp S,потрево́жь
Imp PL,потрево́жьте
