Infinitive,побрести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,побре́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побредя́
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,побре́дши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,побреду́
2nd Sing,побредёшь
3rd Sing,побредёт
1st Pl,побредём
2nd Pl,побредёте
3rd Pl,побреду́т
Past M,побрёл
Past F,побрела́
Past N,побрело́
Past PL,побрели́
Imp S,побреди́
Imp PL,побреди́те
