Infinitive,подвяза́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подвяза́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подвя́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подвяза́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подвяза́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подвяжу́
2nd Sing,подвя́жешь
3rd Sing,подвя́жет
1st Pl,подвя́жем
2nd Pl,подвя́жете
3rd Pl,подвя́жут
Past M,подвяза́л
Past F,подвяза́ла
Past N,подвяза́ло
Past PL,подвяза́ли
Imp S,подвяжи́
Imp PL,подвяжи́те
