Infinitive,поплести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поплётшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поплетя́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поплётшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поплету́сь
2nd Sing,поплетёшься
3rd Sing,поплетётся
1st Pl,поплетёмся
2nd Pl,поплетётесь
3rd Pl,поплету́тся
Past M,поплёлся
Past F,поплела́сь
Past N,поплело́сь
Past PL,поплели́сь
Imp S,поплети́сь
Imp PL,поплети́тесь
