Infinitive,поки́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поки́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поки́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поки́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поки́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поки́ну
2nd Sing,поки́нешь
3rd Sing,поки́нет
1st Pl,поки́нем
2nd Pl,поки́нете
3rd Pl,поки́нут
Past M,поки́нул
Past F,поки́нула
Past N,поки́нуло
Past PL,поки́нули
Imp S,поки́нь
Imp PL,поки́ньте
