Infinitive,посягну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,посягну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посягну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,посягну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,посягну́
2nd Sing,посягнёшь
3rd Sing,посягнёт
1st Pl,посягнём
2nd Pl,посягнёте
3rd Pl,посягну́т
Past M,посягну́л
Past F,посягну́ла
Past N,посягну́ло
Past PL,посягну́ли
Imp S,посягни́
Imp PL,посягни́те
