Infinitive,потяну́ться
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,потяну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потяну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,потяну́сь
2nd Sing,потя́нешься
3rd Sing,потя́нется
1st Pl,потя́немся
2nd Pl,потя́нетесь
3rd Pl,потя́нутся
Past M,потяну́лся
Past F,потяну́лась
Past N,потяну́лось
Past PL,потяну́лись
Imp S,потяни́сь
Imp PL,потяни́тесь
