Infinitive,поспеши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поспеши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поспеши́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поспеши́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поспешу́
2nd Sing,поспеши́шь
3rd Sing,поспеши́т
1st Pl,поспеши́м
2nd Pl,поспеши́те
3rd Pl,поспеша́т
Past M,поспеши́л
Past F,поспеши́ла
Past N,поспеши́ло
Past PL,поспеши́ли
Imp S,поспеши́
Imp PL,поспеши́те
