Infinitive,подкрепля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подкрепля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подкрепля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подкрепля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подкрепля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,подкрепля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,подкрепля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,подкрепля́ю
2nd Sing,подкрепля́ешь
3rd Sing,подкрепля́ет
1st Pl,подкрепля́ем
2nd Pl,подкрепля́ете
3rd Pl,подкрепля́ют
Past M,подкрепля́л
Past F,подкрепля́ла
Past N,подкрепля́ло
Past PL,подкрепля́ли
Imp S,подкрепля́й
Imp PL,подкрепля́йте
