Infinitive,потере́ться
Zaliznyak Class,9b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,потёршийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потёршись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,потру́сь
2nd Sing,потрёшься
3rd Sing,потрётся
1st Pl,потрёмся
2nd Pl,потрётесь
3rd Pl,потру́тся
Past M,потёрся
Past F,потёрлась
Past N,потёрлось
Past PL,потёрлись
Imp S,потри́сь
Imp PL,потри́тесь
