Infinitive,подви́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подви́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подви́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подви́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подви́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подви́ну
2nd Sing,подви́нешь
3rd Sing,подви́нет
1st Pl,подви́нем
2nd Pl,подви́нете
3rd Pl,подви́нут
Past M,подви́нул
Past F,подви́нула
Past N,подви́нуло
Past PL,подви́нули
Imp S,подви́нь
Imp PL,подви́ньте
