Infinitive,полома́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,полома́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поло́манный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,полома́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,полома́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,полома́ю
2nd Sing,полома́ешь
3rd Sing,полома́ет
1st Pl,полома́ем
2nd Pl,полома́ете
3rd Pl,полома́ют
Past M,полома́л
Past F,полома́ла
Past N,полома́ло
Past PL,полома́ли
Imp S,полома́й
Imp PL,полома́йте
