Infinitive,подговори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подговори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подговорённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подговори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подговори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подговорю́
2nd Sing,подговори́шь
3rd Sing,подговори́т
1st Pl,подговори́м
2nd Pl,подговори́те
3rd Pl,подговоря́т
Past M,подговори́л
Past F,подговори́ла
Past N,подговори́ло
Past PL,подговори́ли
Imp S,подговори́
Imp PL,подговори́те
