Infinitive,пора́доваться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пора́довавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пора́довавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пора́дуюсь
2nd Sing,пора́дуешься
3rd Sing,пора́дуется
1st Pl,пора́дуемся
2nd Pl,пора́дуетесь
3rd Pl,пора́дуются
Past M,пора́довался
Past F,пора́довалась
Past N,пора́довалось
Past PL,пора́довались
Imp S,пора́дуйся
Imp PL,пора́дуйтесь
