Infinitive,пое́хать
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пое́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пое́хав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пое́хавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пое́ду
2nd Sing,пое́дешь
3rd Sing,пое́дет
1st Pl,пое́дем
2nd Pl,пое́дете
3rd Pl,пое́дут
Past M,пое́хал
Past F,пое́хала
Past N,пое́хало
Past PL,пое́хали
Imp S,поезжа́й
Imp PL,поезжа́йте
