Infinitive,посы́пать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,посы́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посы́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посы́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,посы́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,посы́плю
2nd Sing,посы́плешь
3rd Sing,посы́плет
1st Pl,посы́плем
2nd Pl,посы́плете
3rd Pl,посы́плют
Past M,посы́пал
Past F,посы́пала
Past N,посы́пало
Past PL,посы́пали
Imp S,посы́пь
Imp PL,посы́пьте
