Infinitive,поглоти́ть
Zaliznyak Class,4c⑦(-щ-) // 4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поглоти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поглощённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поглоти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поглоти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поглощу́
2nd Sing,погло́тишь
3rd Sing,погло́тит
1st Pl,погло́тим
2nd Pl,погло́тите
3rd Pl,погло́тят
Past M,поглоти́л
Past F,поглоти́ла
Past N,поглоти́ло
Past PL,поглоти́ли
Imp S,поглоти́
Imp PL,поглоти́те
