Infinitive,постреля́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,постреля́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,постре́лянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,постреля́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,постреля́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,постреля́ю
2nd Sing,постреля́ешь
3rd Sing,постреля́ет
1st Pl,постреля́ем
2nd Pl,постреля́ете
3rd Pl,постреля́ют
Past M,постреля́л
Past F,постреля́ла
Past N,постреля́ло
Past PL,постреля́ли
Imp S,постреля́й
Imp PL,постреля́йте
