Infinitive,поменя́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поменя́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поменя́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поменя́юсь
2nd Sing,поменя́ешься
3rd Sing,поменя́ется
1st Pl,поменя́емся
2nd Pl,поменя́етесь
3rd Pl,поменя́ются
Past M,поменя́лся
Past F,поменя́лась
Past N,поменя́лось
Past PL,поменя́лись
Imp S,поменя́йся
Imp PL,поменя́йтесь
