Infinitive,подшу́чивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подшу́чивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подшу́чивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подшу́чивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подшу́чивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подшу́чивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подшу́чиваю
2nd Sing,подшу́чиваешь
3rd Sing,подшу́чивает
1st Pl,подшу́чиваем
2nd Pl,подшу́чиваете
3rd Pl,подшу́чивают
Past M,подшу́чивал
Past F,подшу́чивала
Past N,подшу́чивало
Past PL,подшу́чивали
Imp S,подшу́чивай
Imp PL,подшу́чивайте
