Infinitive,подвы́пить
Zaliznyak Class,11a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подвы́пивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подвы́пив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подвы́пивши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подвы́пью
2nd Sing,подвы́пьешь
3rd Sing,подвы́пьет
1st Pl,подвы́пьем
2nd Pl,подвы́пьете
3rd Pl,подвы́пьют
Past M,подвы́пил
Past F,подвы́пила
Past N,подвы́пило
Past PL,подвы́пили
Imp S,подвы́пей
Imp PL,подвы́пейте
