Infinitive,породи́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,породи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,порождённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,породи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,породи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,порожу́
2nd Sing,породи́шь
3rd Sing,породи́т
1st Pl,породи́м
2nd Pl,породи́те
3rd Pl,породя́т
Past M,породи́л
Past F,породи́ла
Past N,породи́ло
Past PL,породи́ли
Imp S,породи́
Imp PL,породи́те
