Infinitive,подгото́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подгото́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подгото́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подгото́влюсь
2nd Sing,подгото́вишься
3rd Sing,подгото́вится
1st Pl,подгото́вимся
2nd Pl,подгото́витесь
3rd Pl,подгото́вятся
Past M,подгото́вился
Past F,подгото́вилась
Past N,подгото́вилось
Past PL,подгото́вились
Imp S,подгото́вься
Imp PL,подгото́вьтесь
