Infinitive,пожени́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пожени́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пожени́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поженю́сь
2nd Sing,поже́нишься
3rd Sing,поже́нится
1st Pl,поже́нимся
2nd Pl,поже́нитесь
3rd Pl,поже́нятся
Past M,пожени́лся
Past F,пожени́лась
Past N,пожени́лось
Past PL,пожени́лись
Imp S,пожени́сь
Imp PL,пожени́тесь
