Infinitive,поспева́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поспева́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поспева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поспева́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поспева́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,поспева́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,поспева́ю
2nd Sing,поспева́ешь
3rd Sing,поспева́ет
1st Pl,поспева́ем
2nd Pl,поспева́ете
3rd Pl,поспева́ют
Past M,поспева́л
Past F,поспева́ла
Past N,поспева́ло
Past PL,поспева́ли
Imp S,поспева́й
Imp PL,поспева́йте
