Infinitive,побра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,побра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́бранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,побра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,побра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поберу́
2nd Sing,поберёшь
3rd Sing,поберёт
1st Pl,поберём
2nd Pl,поберёте
3rd Pl,поберу́т
Past M,побра́л
Past F,побрала́
Past N,побра́ло
Past PL,побра́ли
Imp S,побери́
Imp PL,побери́те
