Infinitive,попе́ть
Zaliznyak Class,12b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,попе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,попе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,попою́
2nd Sing,попоёшь
3rd Sing,попоёт
1st Pl,попоём
2nd Pl,попоёте
3rd Pl,попою́т
Past M,попе́л
Past F,попе́ла
Past N,попе́ло
Past PL,попе́ли
Imp S,попо́й
Imp PL,попо́йте
