Infinitive,погрузи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,погрузи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,погружённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,погрузи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,погрузи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,погружу́
2nd Sing,погрузи́шь
3rd Sing,погрузи́т
1st Pl,погрузи́м
2nd Pl,погрузи́те
3rd Pl,погрузя́т
Past M,погрузи́л
Past F,погрузи́ла
Past N,погрузи́ло
Past PL,погрузи́ли
Imp S,погрузи́
Imp PL,погрузи́те
