Infinitive,подстрели́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подстрели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подстре́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подстрели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подстрели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подстрелю́
2nd Sing,подстре́лишь
3rd Sing,подстре́лит
1st Pl,подстре́лим
2nd Pl,подстре́лите
3rd Pl,подстре́лят
Past M,подстрели́л
Past F,подстрели́ла
Past N,подстрели́ло
Past PL,подстрели́ли
Imp S,подстрели́
Imp PL,подстрели́те
