Infinitive,подпоя́сать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подпоя́савший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подпоя́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подпоя́сав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подпоя́савши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подпоя́саю
2nd Sing,подпоя́саешь
3rd Sing,подпоя́сает
1st Pl,подпоя́саем
2nd Pl,подпоя́саете
3rd Pl,подпоя́сают
Past M,подпоя́сал
Past F,подпоя́сала
Past N,подпоя́сало
Past PL,подпоя́сали
Imp S,подпоя́сай
Imp PL,подпоя́сайте
