Infinitive,попо́льзоваться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,попо́льзовавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попо́льзовавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,попо́льзуюсь
2nd Sing,попо́льзуешься
3rd Sing,попо́льзуется
1st Pl,попо́льзуемся
2nd Pl,попо́льзуетесь
3rd Pl,попо́льзуются
Past M,попо́льзовался
Past F,попо́льзовалась
Past N,попо́льзовалось
Past PL,попо́льзовались
Imp S,попо́льзуйся
Imp PL,попо́льзуйтесь
