Infinitive,пока́зываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пока́зывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пока́зывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пока́зываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пока́зывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пока́зываюсь
2nd Sing,пока́зываешься
3rd Sing,пока́зывается
1st Pl,пока́зываемся
2nd Pl,пока́зываетесь
3rd Pl,пока́зываются
Past M,пока́зывался
Past F,пока́зывалась
Past N,пока́зывалось
Past PL,пока́зывались
Imp S,пока́зывайся
Imp PL,пока́зывайтесь
