Infinitive,впечатля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,впечатля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,впечатля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,впечатля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,впечатля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,впечатля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,впечатля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,впечатля́ю
2nd Sing,впечатля́ешь
3rd Sing,впечатля́ет
1st Pl,впечатля́ем
2nd Pl,впечатля́ете
3rd Pl,впечатля́ют
Past M,впечатля́л
Past F,впечатля́ла
Past N,впечатля́ло
Past PL,впечатля́ли
Imp S,впечатля́й
Imp PL,впечатля́йте
