Infinitive,вписа́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вписа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вписа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,впишу́сь
2nd Sing,впи́шешься
3rd Sing,впи́шется
1st Pl,впи́шемся
2nd Pl,впи́шетесь
3rd Pl,впи́шутся
Past M,вписа́лся
Past F,вписа́лась
Past N,вписа́лось
Past PL,вписа́лись
Imp S,впиши́сь
Imp PL,впиши́тесь
