Infinitive,впихну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,впихну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,впи́хнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,впихну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,впихну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,впихну́
2nd Sing,впихнёшь
3rd Sing,впихнёт
1st Pl,впихнём
2nd Pl,впихнёте
3rd Pl,впихну́т
Past M,впихну́л
Past F,впихну́ла
Past N,впихну́ло
Past PL,впихну́ли
Imp S,впихни́
Imp PL,впихни́те
