Infinitive,впива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,впива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,впива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,впива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,впива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,впива́юсь
2nd Sing,впива́ешься
3rd Sing,впива́ется
1st Pl,впива́емся
2nd Pl,впива́етесь
3rd Pl,впива́ются
Past M,впива́лся
Past F,впива́лась
Past N,впива́лось
Past PL,впива́лись
Imp S,впива́йся
Imp PL,впива́йтесь
