Infinitive,впери́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,впери́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вперённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,впери́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,впери́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вперю́
2nd Sing,впери́шь
3rd Sing,впери́т
1st Pl,впери́м
2nd Pl,впери́те
3rd Pl,вперя́т
Past M,впери́л
Past F,впери́ла
Past N,впери́ло
Past PL,впери́ли
Imp S,впери́
Imp PL,впери́те
