Infinitive,впусти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,впусти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,впу́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,впусти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,впусти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,впущу́
2nd Sing,впу́стишь
3rd Sing,впу́стит
1st Pl,впу́стим
2nd Pl,впу́стите
3rd Pl,впу́стят
Past M,впусти́л
Past F,впусти́ла
Past N,впусти́ло
Past PL,впусти́ли
Imp S,впусти́
Imp PL,впусти́те
