Infinitive,вписа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вписа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,впи́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вписа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вписа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,впишу́
2nd Sing,впи́шешь
3rd Sing,впи́шет
1st Pl,впи́шем
2nd Pl,впи́шете
3rd Pl,впи́шут
Past M,вписа́л
Past F,вписа́ла
Past N,вписа́ло
Past PL,вписа́ли
Imp S,впиши́
Imp PL,впиши́те
