Infinitive,впита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,впита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,впи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,впита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,впита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,впита́ю
2nd Sing,впита́ешь
3rd Sing,впита́ет
1st Pl,впита́ем
2nd Pl,впита́ете
3rd Pl,впита́ют
Past M,впита́л
Past F,впита́ла
Past N,впита́ло
Past PL,впита́ли
Imp S,впита́й
Imp PL,впита́йте
