Infinitive,вползти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,впо́лзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,впо́лзши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вползу́
2nd Sing,вползёшь
3rd Sing,вползёт
1st Pl,вползём
2nd Pl,вползёте
3rd Pl,вползу́т
Past M,впо́лз
Past F,вползла́
Past N,вползло́
Past PL,вползли́
Imp S,вползи́
Imp PL,вползи́те
