Infinitive,вполза́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вполза́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вполза́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вполза́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вполза́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вполза́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вполза́ю
2nd Sing,вполза́ешь
3rd Sing,вполза́ет
1st Pl,вполза́ем
2nd Pl,вполза́ете
3rd Pl,вполза́ют
Past M,вполза́л
Past F,вполза́ла
Past N,вполза́ло
Past PL,вполза́ли
Imp S,вполза́й
Imp PL,вполза́йте
