Infinitive,впи́сываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,впи́сывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,впи́сывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,впи́сываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,впи́сывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,впи́сываюсь
2nd Sing,впи́сываешься
3rd Sing,впи́сывается
1st Pl,впи́сываемся
2nd Pl,впи́сываетесь
3rd Pl,впи́сываются
Past M,впи́сывался
Past F,впи́сывалась
Past N,впи́сывалось
Past PL,впи́сывались
Imp S,впи́сывайся
Imp PL,впи́сывайтесь
