Infinitive,впи́ться
Zaliznyak Class,11*b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,впи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,впи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вопью́сь
2nd Sing,вопьёшься
3rd Sing,вопьётся
1st Pl,вопьёмся
2nd Pl,вопьётесь
3rd Pl,вопью́тся
Past M,впи́лся
Past F,впила́сь
Past N,впило́сь
Past PL,впили́сь
Imp S,впе́йся
Imp PL,впе́йтесь
