Infinitive,инкрусти́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,инкрусти́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,инкрусти́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,инкрусти́руемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,инкрусти́рованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,инкрусти́руя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,инкрусти́ровав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,инкрусти́ровавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,инкрусти́рую
2nd Sing,инкрусти́руешь
3rd Sing,инкрусти́рует
1st Pl,инкрусти́руем
2nd Pl,инкрусти́руете
3rd Pl,инкрусти́руют
Past M,инкрусти́ровал
Past F,инкрусти́ровала
Past N,инкрусти́ровало
Past PL,инкрусти́ровали
Imp S,инкрусти́руй
Imp PL,инкрусти́руйте
