Infinitive,интересова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,интересу́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,интересова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,интересу́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,интересова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,интересу́юсь
2nd Sing,интересу́ешься
3rd Sing,интересу́ется
1st Pl,интересу́емся
2nd Pl,интересу́етесь
3rd Pl,интересу́ются
Past M,интересова́лся
Past F,интересова́лась
Past N,интересова́лось
Past PL,интересова́лись
Imp S,интересу́йся
Imp PL,интересу́йтесь
