Infinitive,кле́иться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кле́ящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кле́ившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кле́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кле́ившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кле́юсь
2nd Sing,кле́ишься
3rd Sing,кле́ится
1st Pl,кле́имся
2nd Pl,кле́итесь
3rd Pl,кле́ятся
Past M,кле́ился
Past F,кле́илась
Past N,кле́илось
Past PL,кле́ились
Imp S,кле́йся
Imp PL,кле́йтесь
