Infinitive,клокота́ть
Zaliznyak Class,6c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,клоко́чущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,клокота́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,клокоча́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,клокота́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,клокота́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,клокочу́
2nd Sing,клоко́чешь
3rd Sing,клоко́чет
1st Pl,клоко́чем
2nd Pl,клоко́чете
3rd Pl,клоко́чут
Past M,клокота́л
Past F,клокота́ла
Past N,клокота́ло
Past PL,клокота́ли
Imp S,клокочи́
Imp PL,клокочи́те
