Infinitive,клони́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,клоня́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,клони́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,клоня́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,клони́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,клоню́сь
2nd Sing,кло́нишься
3rd Sing,кло́нится
1st Pl,кло́нимся
2nd Pl,кло́нитесь
3rd Pl,кло́нятся
Past M,клони́лся
Past F,клони́лась
Past N,клони́лось
Past PL,клони́лись
Imp S,клони́сь
Imp PL,клони́тесь
